Date,Size [B],Used [B]
2021-04-30T12:53:55.477434,222737408,685329408
2021-04-30T12:53:57.977679,208057344,700009472
2021-04-30T12:54:00.477980,194425856,713640960
2021-04-30T12:54:02.978311,180794368,727272448
2021-04-30T12:54:05.478630,164017152,744049664
2021-04-30T12:54:07.978949,644612272,263454544
2021-04-30T12:54:10.479238,628885680,279181136
2021-04-30T12:54:12.979530,613154992,294911824
2021-04-30T12:54:15.479824,597428400,310638416
2021-04-30T12:54:17.980063,583694128,324372688
2021-04-30T12:54:20.480333,569014072,339052744
2021-04-30T12:54:22.980734,552337584,355729232
2021-04-30T12:54:25.481041,435569280,472497536
2021-04-30T12:54:27.981396,400968320,507098496
2021-04-30T12:54:30.481644,365316736,542750080
2021-04-30T12:54:32.981938,327568000,580498816
2021-04-30T12:54:35.482281,292892912,615173904
2021-04-30T12:54:37.982553,258361984,649704832
2021-04-30T12:54:40.482821,221659776,686407040
2021-04-30T12:54:42.983167,184961664,723105152
2021-04-30T12:54:45.483497,148165064,759901752
2021-04-30T12:54:47.983777,608613376,299453440
2021-04-30T12:54:50.484016,570805840,337260976
2021-04-30T12:54:52.984357,534166528,373900288
2021-04-30T12:54:55.484657,497405520,410661296
2021-04-30T12:54:57.984960,462863360,445203456
2021-04-30T12:55:00.485220,425114624,482952192
2021-04-30T12:55:02.985474,391560192,516506624
2021-04-30T12:55:05.485791,355908608,552158208
2021-04-30T12:55:07.986060,321303552,586763264
2021-04-30T12:55:10.486350,286702592,621364224
2021-04-30T12:55:12.986666,253992744,654074072
2021-04-30T12:55:15.486948,216445952,691620864
2021-04-30T12:55:17.987183,182796112,725270704
2021-04-30T12:55:20.487447,146191360,761875456
2021-04-30T12:55:22.987764,611581960,296484856
2021-04-30T12:55:25.488053,577966336,330100480
2021-04-30T12:55:27.988342,541329416,366737400
2021-04-30T12:55:30.488702,505675784,402391032
2021-04-30T12:55:32.989065,471059080,437007736
2021-04-30T12:55:35.489390,433324040,474742776
2021-04-30T12:55:37.989710,399708496,508358320
2021-04-30T12:55:40.490016,364084728,543982088
2021-04-30T12:55:42.990389,328232624,579834192
2021-04-30T12:55:45.490684,292814856,615251960
2021-04-30T12:55:47.990928,259199232,648867584
2021-04-30T12:55:50.491216,222560264,685506552
2021-04-30T12:55:52.991541,185846400,722220416
2021-04-30T12:55:55.491871,149161992,758904824
2021-04-30T12:55:57.992209,618190344,289876472
2021-04-30T12:56:00.492478,583585288,324481528
2021-04-30T12:56:02.992710,551864128,356202688
2021-04-30T12:56:05.492951,518573576,389493240
2021-04-30T12:56:07.993233,482921992,425144824
2021-04-30T12:56:10.493574,402183688,505883128
2021-04-30T12:56:12.993901,366532104,541534712
2021-04-30T12:56:15.494210,238818168,669248648
2021-04-30T12:56:17.994499,202954248,705112568
2021-04-30T12:56:20.494819,167302664,740764152
2021-04-30T12:56:22.995097,635679040,272387776
2021-04-30T12:56:25.495364,597987504,310079312
2021-04-30T12:56:27.995608,510955696,397111120
2021-04-30T12:56:30.495862,474257584,433809232
2021-04-30T12:56:32.996166,440703152,467363664
2021-04-30T12:56:35.496445,402954416,505112400
2021-04-30T12:56:37.996766,366252208,541814608
2021-04-30T12:56:40.497016,330555008,577511808
2021-04-30T12:56:42.997309,295979080,612087736
2021-04-30T12:56:45.497619,261394608,646672208
2021-04-30T12:56:47.997892,181693528,726373288
2021-04-30T12:56:50.498151,599689344,308377472
2021-04-30T12:56:52.998489,526289024,381777792
2021-04-30T12:56:55.498856,316670664,591396152
2021-04-30T12:56:57.999260,205424768,702642048
2021-04-30T12:57:00.499515,169773184,738293632
2021-04-30T12:57:02.999767,134105576,773961240
2021-04-30T12:57:05.500031,619789024,288277792
2021-04-30T12:57:08.000269,586224488,321842328
2021-04-30T12:57:10.500513,506542816,401524000
2021-04-30T12:57:13.000804,469844704,438222112
2021-04-30T12:57:15.501060,433115808,474951008
2021-04-30T12:57:18.001301,397319928,510746888
2021-04-30T12:57:20.501594,359654696,548412120
2021-04-30T12:57:23.001860,284244704,623822112
2021-04-30T12:57:25.502105,248586640,659480176
2021-04-30T12:57:28.002332,212914728,695152088
2021-04-30T12:57:30.502645,176184648,731882168
2021-04-30T12:57:33.002922,140569592,767497224
2021-04-30T12:57:35.503212,575907840,332158976
2021-04-30T12:57:38.003532,538159104,369907712
2021-04-30T12:57:40.503764,500410368,407656448
2021-04-30T12:57:43.003982,466758272,441308544
2021-04-30T12:57:45.504160,431195472,476871344
2021-04-30T12:57:48.004393,342048840,566017976
2021-04-30T12:57:50.504656,306381800,601685016
2021-04-30T12:57:53.004911,270704304,637362512
2021-04-30T12:57:55.505195,235089912,672976904
2021-04-30T12:57:58.005448,198420480,709646336
2021-04-30T12:58:00.505702,141770712,766296104
2021-04-30T12:58:03.005983,624144384,283922432
2021-04-30T12:58:05.506259,589539328,318527488
2021-04-30T12:58:08.006556,553887744,354179072
2021-04-30T12:58:10.506838,520240656,387826160
2021-04-30T12:58:13.010736,475246592,432820224
2021-04-30T12:58:15.511038,439592960,468473856
2021-04-30T12:58:18.011294,404914288,503152528
2021-04-30T12:58:20.511571,369280376,538786440
2021-04-30T12:58:23.011846,333686784,574380032
2021-04-30T12:58:25.512108,294858584,613208232
2021-04-30T12:58:28.012359,259230184,648836632
2021-04-30T12:58:30.512591,222500544,685566272
2021-04-30T12:58:33.012784,187911616,720155200
2021-04-30T12:58:35.512970,152283136,755783680
2021-04-30T12:58:38.013183,623093760,284973056
2021-04-30T12:58:40.513427,587379040,320687776
2021-04-30T12:58:43.013665,553735984,354330832
2021-04-30T12:58:45.513932,519286784,388780032
2021-04-30T12:58:48.014143,482561872,425504944
2021-04-30T12:58:50.514346,442958352,465108464
2021-04-30T12:58:53.014621,402885240,505181576
2021-04-30T12:58:55.514881,367212056,540854760
2021-04-30T12:58:58.015139,330519408,577547408
2021-04-30T12:59:00.515408,292730168,615336648
2021-04-30T12:59:03.015660,251883728,656183088
2021-04-30T12:59:05.515864,215183512,692883304
2021-04-30T12:59:08.016072,176364584,731702232
2021-04-30T12:59:10.516319,140733696,767333120
2021-04-30T12:59:13.016572,610034184,298032632
2021-04-30T12:59:15.516803,567042568,341024248
2021-04-30T12:59:18.017065,531393032,376673784
2021-04-30T12:59:20.517316,496628368,411438448
2021-04-30T12:59:23.017553,462184968,445881848
2021-04-30T12:59:25.517862,426533384,481533432
2021-04-30T12:59:28.018141,387656432,520410384
2021-04-30T12:59:30.518408,351035912,557030904
2021-04-30T12:59:33.018683,316338624,591728192
2021-04-30T12:59:35.518995,278656776,629410040
2021-04-30T12:59:38.019267,239850872,668215944
2021-04-30T12:59:40.519814,198862704,709204112
2021-04-30T12:59:43.020262,162292232,745774584
2021-04-30T12:59:45.520820,625716816,282350000
2021-04-30T12:59:48.021072,589014608,319052208
2021-04-30T12:59:50.521325,551265872,356800944
2021-04-30T12:59:53.021601,510373456,397693360
2021-04-30T12:59:55.521875,475768400,432298416
2021-04-30T12:59:58.022144,438019664,470047152
2021-04-30T13:00:00.522322,402368080,505698736
2021-04-30T13:00:03.022524,367765072,540301744
2021-04-30T13:00:05.522741,325824080,582242736
2021-04-30T13:00:08.022974,290163672,617903144
2021-04-30T13:00:10.523195,253470288,654596528
2021-04-30T13:00:13.023421,217811480,690255336
2021-04-30T13:00:15.523665,181120592,726946224
2021-04-30T13:00:18.023902,141272656,766794160
2021-04-30T13:00:20.524164,604098640,303968176
2021-04-30T13:00:23.024424,567421376,340645440
2021-04-30T13:00:25.524643,530719168,377347648
2021-04-30T13:00:28.024875,491907456,416159360
2021-04-30T13:00:30.525152,455214464,452852352
2021-04-30T13:00:33.025404,415361408,492705408
2021-04-30T13:00:35.525724,372386240,535680576
2021-04-30T13:00:38.025996,334637504,573429312
2021-04-30T13:00:40.526272,297899560,610167256
2021-04-30T13:00:43.026540,260179328,647887488
2021-04-30T13:00:45.526802,224477392,683589424
2021-04-30T13:00:48.027038,185723512,722343304
2021-04-30T13:00:50.527276,145893824,762172992
2021-04-30T13:00:53.027484,606752960,301313856
2021-04-30T13:00:55.527705,569026248,339040568
2021-04-30T13:00:58.027928,529180360,378886456
2021-04-30T13:01:00.528157,492472864,415593952
2021-04-30T13:01:03.028405,461022920,447043896
