"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:12:45.676, 29 Apr 2021","1,3","0,0","828 375 072","165 222 960"
"10:12:46.679, 29 Apr 2021","1,4","0,0","828 375 072","171 514 416"
"10:12:47.677, 29 Apr 2021","1,3","0,0","828 375 072","177 805 872"
"10:12:48.677, 29 Apr 2021","1,4","0,0","828 375 072","184 097 328"
"10:12:49.677, 29 Apr 2021","1,3","0,0","828 375 072","190 388 784"
"10:12:50.677, 29 Apr 2021","1,4","0,0","828 375 072","196 680 240"
"10:12:51.677, 29 Apr 2021","5,3","0,0","828 375 072","253 303 344"
"10:12:52.677, 29 Apr 2021","4,4","0,0","828 375 072","267 983 408"
"10:12:53.678, 29 Apr 2021","2,7","0,0","828 375 072","280 566 320"
"10:12:54.678, 29 Apr 2021","2,3","0,0","828 375 072","295 246 384"
"10:12:55.678, 29 Apr 2021","2,7","0,0","828 375 072","309 926 448"
"10:12:56.678, 29 Apr 2021","2,8","0,0","828 375 072","322 509 360"
"10:12:57.678, 29 Apr 2021","2,2","0,0","828 375 072","337 189 424"
"10:12:58.678, 29 Apr 2021","3,5","0,0","828 375 072","351 869 488"
"10:12:59.678, 29 Apr 2021","2,2","0,0","828 375 072","364 452 400"
"10:13:00.679, 29 Apr 2021","2,3","0,0","828 375 072","381 229 616"
"10:13:01.679, 29 Apr 2021","2,2","0,0","828 375 072","393 812 528"
"10:13:02.679, 29 Apr 2021","2,3","0,0","828 375 072","408 492 592"
"10:13:03.679, 29 Apr 2021","2,7","0,0","828 375 072","421 075 504"
"10:13:04.679, 29 Apr 2021","2,1","0,0","828 375 072","437 852 720"
"10:13:05.679, 29 Apr 2021","3,8","0,0","828 375 072","471 407 152"
"10:13:06.679, 29 Apr 2021","2,3","0,0","828 375 072","486 087 216"
"10:13:07.680, 29 Apr 2021","2,4","0,0","828 375 072","500 767 280"
"10:13:08.680, 29 Apr 2021","2,7","0,0","828 375 072","515 447 344"
"10:13:09.680, 29 Apr 2021","2,0","0,0","828 375 072","525 933 104"
"10:13:10.680, 29 Apr 2021","2,3","0,0","828 375 072","538 516 016"
"10:13:11.680, 29 Apr 2021","2,7","0,0","828 375 072","145 908 608"
"10:13:12.680, 29 Apr 2021","1,9","0,0","828 375 072","158 491 520"
"10:13:13.680, 29 Apr 2021","2,1","0,0","828 375 072","173 171 584"
"10:13:14.681, 29 Apr 2021","2,0","0,0","828 375 072","185 754 496"
"10:13:15.681, 29 Apr 2021","2,2","0,0","828 375 072","200 434 560"
"10:13:16.681, 29 Apr 2021","2,2","0,0","828 375 072","215 114 624"
"10:13:17.681, 29 Apr 2021","2,2","0,0","828 375 072","229 794 688"
"10:13:18.681, 29 Apr 2021","2,4","0,0","828 375 072","244 474 752"
"10:13:19.681, 29 Apr 2021","2,6","0,0","828 375 072","259 154 816"
"10:13:20.681, 29 Apr 2021","1,7","0,0","828 375 072","271 737 728"
"10:13:21.681, 29 Apr 2021","2,1","0,0","828 375 072","286 417 792"
"10:13:22.682, 29 Apr 2021","2,3","0,0","828 375 072","301 097 856"
"10:13:23.682, 29 Apr 2021","4,4","0,0","828 375 072","319 972 224"
"10:13:24.682, 29 Apr 2021","2,2","0,0","828 375 072","334 652 288"
"10:13:25.682, 29 Apr 2021","2,1","0,0","828 375 072","347 235 200"
"10:13:26.682, 29 Apr 2021","2,0","0,0","828 375 072","361 915 264"
"10:13:27.682, 29 Apr 2021","1,7","0,0","828 375 072","376 595 328"
"10:13:28.682, 29 Apr 2021","2,4","0,0","828 375 072","389 178 240"
"10:13:29.683, 29 Apr 2021","1,9","0,0","828 375 072","401 761 152"
"10:13:30.682, 29 Apr 2021","2,4","0,0","828 375 072","416 441 216"
"10:13:31.683, 29 Apr 2021","2,4","0,0","828 375 072","431 121 280"
"10:13:32.683, 29 Apr 2021","1,9","0,0","828 375 072","443 704 192"
"10:13:33.683, 29 Apr 2021","2,8","0,0","828 375 072","464 675 712"
"10:13:34.683, 29 Apr 2021","3,2","0,0","828 375 072","477 258 624"
"10:13:35.683, 29 Apr 2021","5,7","0,0","828 375 072","489 841 536"
"10:13:36.683, 29 Apr 2021","2,6","0,0","828 375 072","504 521 600"
"10:13:37.683, 29 Apr 2021","2,1","0,0","828 375 072","519 201 664"
"10:13:38.684, 29 Apr 2021","2,3","0,0","828 375 072","531 784 576"
"10:13:39.684, 29 Apr 2021","2,4","0,0","828 375 072","546 464 640"
"10:13:40.684, 29 Apr 2021","3,0","0,1","828 375 072","142 355 648"
"10:13:41.684, 29 Apr 2021","3,1","0,0","828 375 072","157 035 712"
"10:13:42.684, 29 Apr 2021","6,6","0,0","828 375 072","171 715 776"
"10:13:43.684, 29 Apr 2021","4,0","0,0","828 375 072","190 590 144"
"10:13:44.684, 29 Apr 2021","2,2","0,0","828 375 072","205 270 208"
"10:13:45.684, 29 Apr 2021","2,4","0,0","828 375 072","222 047 424"
"10:13:46.685, 29 Apr 2021","3,1","0,0","828 375 072","243 018 944"
"10:13:47.685, 29 Apr 2021","2,1","0,0","828 375 072","259 796 160"
"10:13:48.685, 29 Apr 2021","2,3","0,0","828 375 072","274 476 224"
"10:13:49.685, 29 Apr 2021","8,3","0,0","828 375 072","289 156 288"
"10:13:50.685, 29 Apr 2021","2,5","0,0","828 375 072","305 933 504"
"10:13:51.685, 29 Apr 2021","2,4","0,0","828 375 072","320 613 568"
"10:13:52.685, 29 Apr 2021","2,1","0,0","828 375 072","337 390 784"
