Date,Size [B],Used [B]
2021-04-30T09:10:37.723810,281823752,619951608
2021-04-30T09:10:40.224061,678238496,223536864
2021-04-30T09:10:42.724317,653071696,248703664
2021-04-30T09:10:45.224558,636124016,265651344
2021-04-30T09:10:47.724824,616736544,285038816
2021-04-30T09:10:50.225058,597859008,303916352
2021-04-30T09:10:52.725308,576905208,324870152
2021-04-30T09:10:55.225541,558054760,343720600
2021-04-30T09:10:57.725778,539803600,361971760
2021-04-30T09:11:00.226093,518875856,382899504
2021-04-30T09:11:02.726379,499234456,402540904
2021-04-30T09:11:05.226620,480493616,421281744
2021-04-30T09:11:07.726860,458156040,443619320
2021-04-30T09:11:10.227092,435033200,466742160
2021-04-30T09:11:12.727326,255997584,645777776
2021-04-30T09:11:15.227610,671417768,230357592
2021-04-30T09:11:17.727847,646162840,255612520
2021-04-30T09:11:20.228066,621011976,280763384
2021-04-30T09:11:22.728279,594506232,307269128
2021-04-30T09:11:25.228489,568629304,333146056
2021-04-30T09:11:27.728706,544072440,357702920
2021-04-30T09:11:30.228925,516228520,385546840
2021-04-30T09:11:32.729137,491034656,410740704
2021-04-30T09:11:35.229353,465829192,435946168
2021-04-30T09:11:37.729581,440729000,461046360
2021-04-30T09:11:40.229812,413441296,488334064
2021-04-30T09:11:42.730025,388186352,513589008
2021-04-30T09:11:45.230238,362937800,538837560
2021-04-30T09:11:47.730452,337937376,563837984
2021-04-30T09:11:50.230668,310707624,591067736
2021-04-30T09:11:52.730882,286085904,615689456
2021-04-30T09:11:55.231101,260971936,640803424
2021-04-30T09:11:57.731314,235811688,665963672
2021-04-30T09:12:00.231530,669276360,232499000
2021-04-30T09:12:02.731751,644544544,257230816
2021-04-30T09:12:05.231970,618834112,282941248
2021-04-30T09:12:07.732179,593635912,308139448
2021-04-30T09:12:10.232398,566775720,334999640
2021-04-30T09:12:12.732615,541354200,360421160
2021-04-30T09:12:15.232828,514041984,387733376
2021-04-30T09:12:17.733046,488847968,412927392
2021-04-30T09:12:20.233263,462050272,439725088
2021-04-30T09:12:22.733472,420089176,481686184
2021-04-30T09:12:25.233688,396445336,505330024
2021-04-30T09:12:27.733913,367288536,534486824
2021-04-30T09:12:30.234125,342106008,559669352
2021-04-30T09:12:32.734337,309002304,592773056
2021-04-30T09:12:35.234550,277016888,624758472
2021-04-30T09:12:37.734770,249814736,651960624
2021-04-30T09:12:40.234989,222895792,678879568
2021-04-30T09:12:42.735218,193652672,708122688
2021-04-30T09:12:45.235436,674184448,227590912
2021-04-30T09:12:47.735651,650961432,250813928
2021-04-30T09:12:50.235870,623666112,278109248
2021-04-30T09:12:52.736091,592397568,309377792
2021-04-30T09:12:55.236318,567184360,334591000
2021-04-30T09:12:57.736545,537871616,363903744
2021-04-30T09:13:00.236822,510577080,391198280
2021-04-30T09:13:02.737076,483644920,418130440
2021-04-30T09:13:05.237300,456051120,445724240
2021-04-30T09:13:07.737513,429111904,472663456
2021-04-30T09:13:10.237730,399772464,502002896
2021-04-30T09:13:12.737943,372080408,529694952
2021-04-30T09:13:15.238165,342763192,559012168
2021-04-30T09:13:17.738379,307545232,594230128
2021-04-30T09:13:20.238603,281959392,619815968
2021-04-30T09:13:22.738832,252519920,649255440
2021-04-30T09:13:25.239048,225788352,675987008
2021-04-30T09:13:27.739262,198106288,703669072
