I,g1,3749039875,3033404208,31070583
U0,g2,608048834,179962959,35251834
U1,g3,450115083,193024833,29293333
U2,g4,301773875,165373541,38739459
U3,g5,407647125,161983875,38496250
I,j1,26270794208,24997026292,114982042
U0,j2,27364167,20621916,132834417
U1,j3,39347833,22124416,155997000
U2,j4,39134667,15179916,155340166
U3,j5,29637917,24583625,183410833
I,n1,828379875,226195458,18967083
U0,n2,131462291,37296208,35155000
U1,n3,70002125,26730375,37270042
U2,n4,127484417,63336875,28589417
U3,n5,73680750,52285167,43213209
