"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:40:55.486, 29 Apr 2021","8,0","0,0","2 654 994 464","1 835 663 328"
"10:40:56.486, 29 Apr 2021","9,3","0,1","2 654 994 464","1 103 125 856"
"10:40:57.487, 29 Apr 2021","8,1","0,0","2 654 994 464","1 688 231 264"
"10:40:58.487, 29 Apr 2021","6,4","0,0","2 654 994 464","1 814 060 384"
"10:40:59.487, 29 Apr 2021","7,1","0,0","2 654 994 464","2 168 479 072"
"10:41:00.487, 29 Apr 2021","9,3","0,1","2 654 994 464","1 463 595 136"
"10:41:01.487, 29 Apr 2021","9,3","0,0","2 654 994 464","2 268 901 504"
"10:41:02.487, 29 Apr 2021","9,2","0,1","2 654 994 464","1 305 294 976"
"10:41:03.487, 29 Apr 2021","6,6","0,0","2 654 994 464","1 462 581 376"
"10:41:04.488, 29 Apr 2021","7,6","0,0","2 654 994 464","1 976 383 616"
"10:41:05.488, 29 Apr 2021","9,8","0,1","2 654 994 464","1 275 330 048"
"10:41:06.488, 29 Apr 2021","8,3","0,0","2 654 994 464","2 114 190 848"
"10:41:07.488, 29 Apr 2021","8,5","0,2","2 654 994 464","948 257 280"
"10:41:08.488, 29 Apr 2021","6,9","0,0","2 654 994 464","1 109 737 984"
"10:41:09.488, 29 Apr 2021","8,0","0,0","2 654 994 464","1 793 409 536"
"10:41:10.488, 29 Apr 2021","10,0","0,2","2 654 994 464","1 124 515 328"
"10:41:11.488, 29 Apr 2021","8,2","0,0","2 654 994 464","1 938 210 304"
"10:41:12.489, 29 Apr 2021","6,3","0,0","2 654 994 464","2 051 456 512"
"10:41:13.489, 29 Apr 2021","9,2","0,2","2 654 994 464","993 577 984"
"10:41:14.489, 29 Apr 2021","8,7","0,0","2 654 994 464","1 780 009 984"
"10:41:15.489, 29 Apr 2021","10,3","0,2","2 654 994 464","1 134 427 136"
"10:41:16.489, 29 Apr 2021","7,2","0,0","2 654 994 464","1 589 509 120"
"10:41:17.489, 29 Apr 2021","6,4","0,0","2 654 994 464","1 740 504 064"
"10:41:18.489, 29 Apr 2021","10,1","0,2","2 654 994 464","1 005 861 888"
"10:41:19.489, 29 Apr 2021","8,2","0,0","2 654 994 464","1 806 973 952"
"10:41:20.489, 29 Apr 2021","10,2","0,2","2 654 994 464","1 045 703 168"
"10:41:21.490, 29 Apr 2021","6,7","0,0","2 654 994 464","1 179 920 896"
"10:41:22.490, 29 Apr 2021","7,7","0,0","2 654 994 464","1 741 957 632"
"10:41:23.490, 29 Apr 2021","10,4","0,2","2 654 994 464","1 159 139 328"
"10:41:24.490, 29 Apr 2021","8,4","0,0","2 654 994 464","1 891 045 376"
"10:41:25.490, 29 Apr 2021","6,3","0,0","2 654 994 464","2 000 097 280"
"10:41:26.490, 29 Apr 2021","9,7","0,2","2 654 994 464","1 078 427 648"
"10:41:27.490, 29 Apr 2021","8,1","0,0","2 654 994 464","1 894 219 776"
"10:41:28.490, 29 Apr 2021","10,4","0,2","2 654 994 464","1 319 600 128"
"10:41:29.491, 29 Apr 2021","6,7","0,0","2 654 994 464","1 550 286 848"
"10:41:30.491, 29 Apr 2021","6,8","0,0","2 654 994 464","1 760 002 048"
"10:41:31.491, 29 Apr 2021","10,3","0,2","2 654 994 464","1 170 880 000"
"10:41:32.491, 29 Apr 2021","8,3","0,0","2 654 994 464","1 963 603 456"
"10:41:33.491, 29 Apr 2021","9,7","0,2","2 654 994 464","1 099 576 832"
"10:41:34.491, 29 Apr 2021","6,6","0,0","2 654 994 464","1 235 891 712"
"10:41:35.491, 29 Apr 2021","8,0","0,0","2 654 994 464","1 957 312 000"
"10:41:36.492, 29 Apr 2021","10,3","0,2","2 654 994 464","1 407 354 880"
"10:41:37.492, 29 Apr 2021","8,1","0,0","2 654 994 464","2 145 552 384"
"10:41:38.492, 29 Apr 2021","6,1","0,0","2 654 994 464","2 258 798 592"
"10:41:39.492, 29 Apr 2021","9,4","0,2","2 654 994 464","1 387 535 360"
"10:41:40.492, 29 Apr 2021","8,2","0,0","2 654 994 464","2 224 299 008"
"10:41:41.492, 29 Apr 2021","10,4","0,2","2 654 994 464","1 630 442 496"
"10:41:42.492, 29 Apr 2021","7,0","0,0","2 654 994 464","1 959 695 360"
"10:41:43.492, 29 Apr 2021","6,8","0,0","2 654 994 464","2 177 799 168"
"10:41:44.493, 29 Apr 2021","10,0","0,2","2 654 994 464","1 635 288 576"
"10:41:45.493, 29 Apr 2021","10,6","0,2","2 654 994 464","1 105 757 696"
"10:41:46.493, 29 Apr 2021","7,7","0,0","2 654 994 464","1 669 891 584"
"10:41:47.493, 29 Apr 2021","6,4","0,0","2 654 994 464","1 797 817 856"
"10:41:48.493, 29 Apr 2021","9,9","0,2","2 654 994 464","1 074 091 008"
"10:41:49.493, 29 Apr 2021","8,3","0,0","2 654 994 464","1 883 591 680"
"10:41:50.493, 29 Apr 2021","10,1","0,2","2 654 994 464","1 283 806 208"
"10:41:51.493, 29 Apr 2021","7,4","0,0","2 654 994 464","1 747 276 800"
"10:41:52.494, 29 Apr 2021","10,2","0,2","2 654 994 464","1 006 220 288"
"10:41:53.494, 29 Apr 2021","7,0","0,0","2 654 994 464","1 278 850 048"
"10:41:54.494, 29 Apr 2021","7,9","0,0","2 654 994 464","1 557 771 264"
"10:41:55.494, 29 Apr 2021","8,9","0,0","2 654 994 464","1 855 566 848"
"10:41:56.494, 29 Apr 2021","7,0","0,0","2 654 994 464","2 142 876 672"
"10:41:57.494, 29 Apr 2021","9,0","0,2","2 654 994 464","1 110 073 344"
"10:41:58.494, 29 Apr 2021","7,1","0,0","2 654 994 464","1 391 091 712"
"10:41:59.495, 29 Apr 2021","8,0","0,0","2 654 994 464","1 714 053 120"
"10:42:00.495, 29 Apr 2021","6,9","0,0","2 654 994 464","1 953 128 448"
"10:42:01.495, 29 Apr 2021","7,0","0,0","2 654 994 464","2 196 398 080"
