"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:40:55.338, 29 Apr 2021","0,7","0,0","979 370 016","280 715 584"
"10:40:56.338, 29 Apr 2021","0,5","0,0","979 370 016","282 812 736"
"10:40:57.338, 29 Apr 2021","3,3","0,0","979 370 016","289 104 192"
"10:40:58.338, 29 Apr 2021","11,5","0,0","979 370 016","312 172 864"
"10:40:59.339, 29 Apr 2021","4,6","0,0","979 370 016","324 755 776"
"10:41:00.339, 29 Apr 2021","1,2","0,0","979 370 016","328 950 080"
"10:41:01.339, 29 Apr 2021","0,4","0,0","979 370 016","331 047 232"
"10:41:02.339, 29 Apr 2021","1,4","0,0","979 370 016","339 435 840"
"10:41:03.339, 29 Apr 2021","4,7","0,0","979 370 016","362 504 512"
"10:41:04.339, 29 Apr 2021","2,4","0,0","979 370 016","372 990 272"
"10:41:05.339, 29 Apr 2021","3,9","0,0","979 370 016","377 184 576"
"10:41:06.339, 29 Apr 2021","0,4","0,0","979 370 016","379 281 728"
"10:41:07.340, 29 Apr 2021","2,4","0,0","979 370 016","393 961 792"
"10:41:08.340, 29 Apr 2021","3,7","0,0","979 370 016","412 836 160"
"10:41:09.340, 29 Apr 2021","2,3","0,0","979 370 016","421 224 768"
"10:41:10.340, 29 Apr 2021","0,1","0,0","979 370 016","425 419 072"
"10:41:11.340, 29 Apr 2021","0,1","0,0","979 370 016","427 516 224"
"10:41:12.340, 29 Apr 2021","4,1","0,0","979 370 016","450 584 896"
"10:41:13.340, 29 Apr 2021","2,7","0,0","979 370 016","467 362 112"
"10:41:14.341, 29 Apr 2021","0,5","0,0","979 370 016","471 556 416"
"10:41:15.341, 29 Apr 2021","0,1","0,0","979 370 016","473 653 568"
"10:41:16.341, 29 Apr 2021","1,5","0,0","979 370 016","484 139 328"
"10:41:17.341, 29 Apr 2021","4,0","0,0","979 370 016","509 305 152"
"10:41:18.341, 29 Apr 2021","1,9","0,0","979 370 016","519 790 912"
"10:41:19.341, 29 Apr 2021","0,4","0,0","979 370 016","521 888 064"
"10:41:20.341, 29 Apr 2021","0,4","0,0","979 370 016","526 082 368"
"10:41:21.341, 29 Apr 2021","4,5","0,0","979 370 016","549 151 040"
"10:41:22.342, 29 Apr 2021","1,8","0,0","979 370 016","561 733 952"
"10:41:23.342, 29 Apr 2021","0,1","0,0","979 370 016","563 831 104"
"10:41:24.342, 29 Apr 2021","0,3","0,0","979 370 016","565 928 256"
"10:41:25.342, 29 Apr 2021","5,4","0,0","979 370 016","153 821 184"
"10:41:26.342, 29 Apr 2021","2,2","0,0","979 370 016","168 501 248"
"10:41:27.342, 29 Apr 2021","0,2","0,0","979 370 016","170 598 400"
"10:41:28.342, 29 Apr 2021","0,2","0,0","979 370 016","174 792 704"
"10:41:29.342, 29 Apr 2021","2,9","0,0","979 370 016","191 569 920"
"10:41:30.343, 29 Apr 2021","3,8","0,0","979 370 016","212 541 440"
"10:41:31.343, 29 Apr 2021","0,5","0,0","979 370 016","218 832 896"
"10:41:32.343, 29 Apr 2021","0,1","0,0","979 370 016","218 832 896"
"10:41:33.343, 29 Apr 2021","1,3","0,0","979 370 016","229 318 656"
"10:41:34.343, 29 Apr 2021","4,5","0,0","979 370 016","254 484 480"
"10:41:35.343, 29 Apr 2021","1,0","0,0","979 370 016","264 970 240"
"10:41:36.343, 29 Apr 2021","0,6","0,0","979 370 016","267 067 392"
"10:41:37.344, 29 Apr 2021","0,1","0,0","979 370 016","269 164 544"
"10:41:38.344, 29 Apr 2021","4,4","0,0","979 370 016","296 427 520"
"10:41:39.344, 29 Apr 2021","2,5","0,0","979 370 016","309 010 432"
"10:41:40.344, 29 Apr 2021","0,2","0,0","979 370 016","313 204 736"
"10:41:41.344, 29 Apr 2021","0,1","0,0","979 370 016","315 301 888"
